respondent_id,task_id,alternative,meals_per_week,cuisine_variety,dietary_options,live_cooking_class,servings,price_per_week,chosen
1,1,A,2,premium,yes,no,2,110,0
1,1,B,2,premium,no,no,2,110,0
1,1,C,6,premium,yes,yes,2,30,1
1,2,A,6,premium,no,yes,2,65,1
1,2,B,4,standard,no,yes,4,30,0
1,2,C,6,premium,no,yes,1,85,0
1,3,A,6,premium,yes,no,2,65,0
1,3,B,4,standard,yes,no,4,85,0
1,3,C,6,premium,no,yes,2,45,1
1,4,A,4,standard,yes,no,1,45,1
1,4,B,4,premium,yes,no,1,110,0
1,4,C,4,premium,no,no,4,110,0
1,5,A,2,premium,yes,no,4,30,0
1,5,B,6,standard,yes,yes,4,85,0
1,5,C,4,premium,no,yes,2,65,1
1,6,A,4,premium,yes,no,4,65,0
1,6,B,2,premium,yes,yes,2,65,0
1,6,C,2,premium,yes,no,2,30,1
1,7,A,6,premium,no,no,4,30,1
1,7,B,6,standard,yes,no,2,85,0
1,7,C,2,premium,yes,yes,4,85,0
1,8,A,4,standard,no,no,4,85,0
1,8,B,6,standard,yes,no,4,65,1
1,8,C,6,standard,no,yes,2,65,0
2,1,A,4,standard,yes,no,2,30,1
2,1,B,4,premium,no,yes,2,85,0
2,1,C,4,standard,yes,yes,1,85,0
2,2,A,2,standard,no,yes,1,65,0
2,2,B,6,standard,yes,no,4,65,1
2,2,C,4,standard,no,yes,1,85,0
2,3,A,2,premium,no,yes,2,30,0
2,3,B,6,standard,yes,no,1,65,1
2,3,C,2,standard,yes,no,4,30,0
2,4,A,6,premium,no,no,2,65,1
2,4,B,2,standard,no,yes,2,65,0
2,4,C,4,premium,no,no,1,65,0
2,5,A,4,standard,yes,no,4,45,0
2,5,B,4,premium,yes,no,1,30,1
2,5,C,4,premium,no,yes,2,30,0
2,6,A,2,standard,no,yes,4,85,1
2,6,B,6,premium,no,no,2,110,0
2,6,C,6,standard,no,no,1,65,0
2,7,A,6,standard,no,yes,2,45,0
2,7,B,4,premium,yes,no,4,110,0
2,7,C,2,standard,yes,no,1,65,1
2,8,A,6,premium,no,yes,1,65,1
2,8,B,4,standard,no,yes,2,85,0
2,8,C,4,standard,yes,no,4,85,0
3,1,A,2,standard,no,yes,4,30,0
3,1,B,6,standard,no,yes,4,110,0
3,1,C,2,standard,no,no,4,85,1
3,2,A,6,standard,no,no,1,30,0
3,2,B,2,premium,yes,no,1,65,0
3,2,C,6,premium,yes,yes,2,30,1
3,3,A,6,standard,no,no,2,110,0
3,3,B,2,standard,yes,no,1,65,1
3,3,C,4,premium,no,yes,2,45,0
3,4,A,2,premium,yes,no,4,30,0
3,4,B,6,standard,no,yes,1,65,1
3,4,C,2,premium,yes,yes,2,65,0
3,5,A,2,premium,no,yes,2,45,1
3,5,B,4,premium,yes,yes,4,110,0
3,5,C,6,premium,no,no,1,45,0
3,6,A,2,standard,yes,no,1,45,0
3,6,B,6,premium,yes,yes,4,30,1
3,6,C,6,standard,no,yes,2,30,0
3,7,A,6,premium,yes,no,1,45,0
3,7,B,4,standard,no,no,2,30,0
3,7,C,6,standard,no,no,4,30,1
3,8,A,6,standard,yes,yes,4,110,0
3,8,B,6,premium,yes,no,2,30,1
3,8,C,6,standard,no,no,2,65,0
4,1,A,6,premium,yes,no,1,110,0
4,1,B,2,standard,no,yes,4,30,1
4,1,C,6,premium,yes,yes,1,110,0
4,2,A,4,premium,yes,no,4,65,1
4,2,B,2,premium,yes,yes,4,65,0
4,2,C,6,standard,yes,yes,1,45,0
4,3,A,4,standard,no,no,2,45,1
4,3,B,6,standard,no,no,1,85,0
4,3,C,2,standard,yes,yes,4,110,0
4,4,A,6,premium,no,yes,1,110,0
4,4,B,4,premium,yes,yes,1,45,1
4,4,C,2,premium,no,no,2,85,0
4,5,A,4,standard,yes,yes,2,30,1
4,5,B,4,premium,yes,no,4,110,0
4,5,C,2,premium,no,yes,2,85,0
4,6,A,6,premium,no,no,2,85,0
4,6,B,2,standard,no,yes,1,65,0
4,6,C,4,standard,yes,yes,4,85,1
4,7,A,2,premium,yes,no,4,30,0
4,7,B,6,standard,no,yes,4,65,0
4,7,C,6,premium,no,yes,4,45,1
4,8,A,6,standard,yes,no,1,30,1
4,8,B,6,standard,no,yes,2,65,0
4,8,C,6,standard,no,yes,1,65,0
5,1,A,2,standard,yes,yes,1,85,0
5,1,B,6,premium,no,no,1,110,1
5,1,C,6,premium,no,no,2,65,0
5,2,A,6,premium,no,no,4,65,1
5,2,B,2,standard,no,no,2,110,0
5,2,C,6,premium,yes,no,2,110,0
5,3,A,2,standard,yes,yes,1,85,0
5,3,B,2,premium,yes,no,4,110,1
